iter	RMSE
512	20.15329172
513	20.15318816
514	20.15316605
515	20.15305191
516	20.15289806
517	20.15279074
518	20.15274403
519	20.15263892
520	20.15255558
521	20.15236148
522	20.15228583
523	20.15222225
524	20.15219098
525	20.15214193
526	20.15205523
527	20.15199883
528	20.15197489
529	20.15194694
530	20.15183848
531	20.15166757
532	20.1515948
533	20.15149623
534	20.15138447
535	20.1513417
536	20.15127392
537	20.15109091
538	20.15105229
539	20.15102482
540	20.15092187
541	20.15087877
542	20.15083279
543	20.15077215
544	20.15073009
545	20.15069417
546	20.15064609
547	20.15053453
548	20.15036413
549	20.15024291
550	20.15019964
551	20.15012856
552	20.15009579
553	20.14994498
554	20.14978297
555	20.14976338
556	20.14970243
557	20.14963446
558	20.14956689
559	20.14946881
560	20.1493677
561	20.14933361
562	20.14919728
563	20.14914049
564	20.14900887
565	20.14897502
566	20.14887281
567	20.14877717
568	20.14869822
569	20.14867508
570	20.14866681
571	20.14849632
572	20.14832015
573	20.1481839
574	20.14809768
575	20.14806755
576	20.14803116
577	20.14791559
578	20.14779018
579	20.14772213
580	20.14757428
581	20.14755151
582	20.14740337
583	20.14732562
584	20.14724931
585	20.14711682
586	20.147091
587	20.14703853
588	20.14701887
589	20.14697417
590	20.14694884
591	20.14687865
592	20.14682541
593	20.14673681
594	20.14668393
595	20.1466338
596	20.14656795
597	20.14647062
598	20.14639601
599	20.14637503
600	20.14633896
601	20.14622693
602	20.14613797
603	20.14608504
604	20.1460541
605	20.14594936
606	20.14586349
607	20.14575048
608	20.14566795
609	20.14560488
610	20.14557402
611	20.14547921
612	20.14544685
613	20.14543294
614	20.14539252
615	20.14531033
616	20.14527535
617	20.14521741
618	20.14520484
619	20.14516325
620	20.14510175
621	20.14507225
622	20.14496647
623	20.14485509
624	20.14484399
625	20.14477072
626	20.14470186
627	20.14467649
628	20.14460781
629	20.14457386
630	20.14450216
631	20.14448448
632	20.14443344
633	20.14439979
634	20.14433405
635	20.14426637
636	20.14419295
637	20.14413913
638	20.14407852
639	20.14398472
640	20.14388867
641	20.14383732
642	20.14382923
643	20.14381523
644	20.14371367
645	20.1437003
646	20.14363364
647	20.14349214
648	20.14342925
649	20.14340283
650	20.14335608
651	20.14326524
652	20.14319107
653	20.14316859
654	20.14314317
655	20.14312647
656	20.14311215
657	20.14302975
658	20.14290291
659	20.1428768
660	20.14286319
661	20.14285375
662	20.14276155
663	20.14267481
664	20.14265426
665	20.14261217
666	20.14252942
667	20.14250054
668	20.14242595
669	20.14233365
670	20.14231652
671	20.14229985
672	20.1422521
673	20.14224015
674	20.14218314
675	20.14212169
676	20.14206636
677	20.14200797
678	20.14199399
679	20.1418929
680	20.14186896
681	20.14178822
682	20.14177964
683	20.14165768
684	20.14160786
685	20.14158394
686	20.14153743
687	20.14147437
688	20.14141564
689	20.14137699
690	20.14135081
691	20.14133506
692	20.1413205
693	20.14130189
694	20.14128936
695	20.14127847
696	20.14122453
697	20.14121362
698	20.14114627
699	20.14110892
700	20.14107541
701	20.14104358
702	20.14098373
703	20.14087144
704	20.14082102
705	20.14079901
706	20.14073858
707	20.14062676
708	20.14055933
709	20.14049836
710	20.14047224
711	20.14045177
712	20.14040534
713	20.14033111
714	20.14031674
715	20.14030321
716	20.14019823
717	20.14012841
718	20.14011572
719	20.14004677
720	20.13999685
721	20.13994538
722	20.13989289
723	20.13982252
724	20.13977208
725	20.13973677
726	20.13972705
727	20.13966311
728	20.13962141
729	20.13958378
730	20.13953897
731	20.13947113
732	20.13939843
733	20.13938608
734	20.13935845
735	20.13931997
736	20.13927975
737	20.13926182
738	20.13921507
739	20.1391525
740	20.13909422
741	20.13907341
742	20.13904573
743	20.13901642
744	20.13897628
745	20.13892423
746	20.13886678
747	20.1388203
748	20.13878015
749	20.13875217
750	20.1387235
751	20.13867492
752	20.1386152
753	20.13852202
754	20.1384328
755	20.13841399
756	20.13836761
757	20.13832565
758	20.1383114
759	20.13822648
760	20.13816615
761	20.13808802
762	20.13807989
763	20.13804673
764	20.13802478
765	20.13801277
766	20.13798353
767	20.13797986
768	20.13792905
769	20.13788446
770	20.13782275
771	20.13780606
772	20.13779084
773	20.13770788
774	20.13767605
775	20.13764768
776	20.13762906
777	20.13759056
778	20.13758415
779	20.13755684
780	20.1375169
781	20.13749581
782	20.13743599
783	20.13742472
784	20.13739599
785	20.13735308
786	20.13733872
787	20.1372615
788	20.13723648
789	20.13721279
790	20.13715565
791	20.13710165
792	20.13708649
793	20.13701199
794	20.1369452
795	20.13689291
796	20.13687519
797	20.13682167
798	20.13677321
799	20.13676266
800	20.13672101
801	20.13671344
802	20.13668251
803	20.13666057
804	20.1366522
805	20.13662463
806	20.13660095
807	20.1365803
808	20.13656562
809	20.13654605
810	20.13650757
811	20.13649199
812	20.1364717
813	20.13643926
814	20.13640038
815	20.13637489
816	20.13633442
817	20.13628119
818	20.1362107
819	20.13617728
820	20.13615213
821	20.13611452
822	20.13606714
823	20.13603432
824	20.13601143
825	20.13596641
826	20.13593751
827	20.1359212
828	20.13590448
829	20.13589781
830	20.13584186
831	20.13575824
832	20.13573873
833	20.1357232
834	20.1357144
835	20.13569913
836	20.13564806
837	20.13560246
838	20.1355358
839	20.13547931
840	20.13545497
841	20.13541259
842	20.13538635
843	20.13534586
844	20.1352707
845	20.13524918
846	20.13521615
847	20.13516308
848	20.13515327
849	20.13512639
850	20.13511214
851	20.13506232
852	20.13503476
853	20.13502057
854	20.1350012
855	20.13496628
856	20.13495811
857	20.13494928
858	20.13492798
859	20.13492345
860	20.13490367
861	20.1348818
862	20.13487298
863	20.13485263
864	20.13484214
865	20.13482433
866	20.13476878
867	20.13475443
868	20.13474258
869	20.13473075
870	20.13472044
871	20.13469761
872	20.13467705
873	20.13465276
874	20.13461871
875	20.13458796
876	20.13458494
877	20.1345682
878	20.13455241
879	20.13452891
880	20.13449155
881	20.13447899
882	20.13446135
883	20.13443213
884	20.13440128
885	20.1343786
886	20.13435264
887	20.13435017
888	20.13430954
889	20.13429596
890	20.13426603
891	20.13423078
892	20.13419615
893	20.13418901
894	20.13417084
895	20.13415667
896	20.13414224
897	20.1341159
898	20.13405166
899	20.13404204
900	20.13401881
901	20.13400405
902	20.13399258
903	20.1339859
904	20.13395346
905	20.13392308
906	20.13390943
907	20.13388775
908	20.13386842
909	20.13385565
910	20.13383557
911	20.13381749
912	20.13380526
913	20.13379791
914	20.13377845
915	20.13376607
916	20.13373983
917	20.13370233
918	20.13369465
919	20.13368687
920	20.13368347
921	20.1336535
922	20.13364001
923	20.13360762
924	20.13356618
925	20.13353688
926	20.1335217
927	20.13349134
928	20.13348018
929	20.13346993
930	20.13342994
931	20.13340536
932	20.13336688
933	20.13334085
934	20.13333039
935	20.13330185
936	20.13329929
937	20.1332929
938	20.13328235
939	20.13325451
940	20.13324888
941	20.13323213
942	20.13321642
943	20.13319701
944	20.13318473
945	20.13317902
946	20.13313761
947	20.13312306
948	20.13309654
949	20.13308054
950	20.13305258
951	20.13304358
952	20.13303875
953	20.13303224
954	20.13297859
955	20.13295981
956	20.13295335
957	20.1329394
958	20.13291436
959	20.13288799
960	20.13287332
961	20.13286398
962	20.1328549
963	20.1328175
964	20.13280845
965	20.13280133
966	20.13277645
967	20.13275678
968	20.13273603
969	20.13272965
970	20.13272501
971	20.13271454
972	20.1326916
973	20.13267495
974	20.13262114
975	20.13261227
976	20.13258894
977	20.13258501
978	20.13257231
979	20.13255504
980	20.13253054
981	20.13250019
982	20.13247886
983	20.13247629
984	20.1324563
985	20.13242709
986	20.13241024
987	20.13240648
988	20.13239304
989	20.13238501
990	20.13237636
991	20.13234482
992	20.13231331
993	20.13228447
994	20.13226437
995	20.13225668
996	20.13224576
997	20.13223669
998	20.13222006
999	20.13218805
